name,city,description,sectors,revenue_model,work_regime,primary_function,secondary_function
Rocket Companies,Detroit,America's largest mortgage lender powering digital home buying through Rocket Mortgage platform,Fintech • Mortgage • Real Estate,Transaction fees,Corporate Agile,Bureaucracy,Tool
Stryker,Kalamazoo,Global medical technology company developing surgical robots and implants,Healthtech • Medical Devices • Robotics,Hardware sales,Corporate Agile,Tool,None
Duo Security (Cisco),Ann Arbor,Zero-trust security platform for multi-factor authentication and endpoint verification,Cybersecurity • Cloud • SaaS,Subscription,Corporate Agile,Bureaucracy,Tool
StockX,Detroit,"Live marketplace for buying and selling sneakers, streetwear, electronics and collectibles",eCommerce • Marketplace • Fintech,Transaction fees,Startup/Venture,Bureaucracy,Media
May Mobility,Ann Arbor,Autonomous vehicle technology for shared transport and mobility-as-a-service,Autonomous Vehicles • Mobility • AI,Transaction fees,Startup/Venture,Tool,None
TechSmith,East Lansing,Screen recording and video editing software including Snagit and Camtasia,Software • Video • Productivity,Subscription,Startup/Venture,Tool,None
Altair Engineering,Troy,Design and simulation tools for engineering and AI-driven product development,Engineering Software • AI • Simulation,Licensing,Corporate Agile,Tool,None
Plex Systems,Troy,Cloud-based manufacturing ERP and MES platform for industrial companies,Manufacturing • ERP • Cloud,Subscription,Startup/Venture,Bureaucracy,Tool
Censys,Ann Arbor,Internet scanning infrastructure and threat detection platform for attack surface management,Cybersecurity • Data • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Benzinga,Detroit,Financial news media and data platform serving traders and investors,Fintech • Media • Data,Mixed,Startup/Venture,Media,Tool
Detroit Labs,Detroit,Custom software development and digital product studio,Software • Consulting • Mobile,Services,Outsourcing,Tool,None
Atomic Object,Grand Rapids,Custom software development and product design consultancy,Software • Consulting • UX,Services,Outsourcing,Tool,None
Gentherm,Northville,Thermal management technologies for automotive and medical applications,Automotive Tech • Hardware • Medical,Hardware sales,Corporate Agile,Tool,None
OneMagnify,Detroit,Data-driven marketing technology and analytics platform,Marketing Tech • Data • Analytics,Subscription,Startup/Venture,Tool,Bureaucracy
Domino's Pizza,Ann Arbor,Global pizza delivery chain with significant technology and digital ordering platform,eCommerce • Logistics • Consumer Tech,Transaction fees,Corporate Agile,Bureaucracy,Tool
OneStream Software,Rochester,Corporate performance management and financial consolidation software,Finance Software • ERP • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Rivian,Plymouth,Electric vehicle manufacturer with focus on trucks and SUVs,EV • Hardware • Manufacturing,Hardware sales,Startup/Venture,Tool,None
Llamasoft,Ann Arbor,Supply chain design and optimization software (acquired by JDA Software),Supply Chain • AI • Analytics,Subscription,Corporate Agile,Tool,Bureaucracy
Compuware,Detroit,IT performance management and mainframe solutions software,Enterprise Software • IT Management,Licensing,Corporate Agile,Tool,Bureaucracy
Stardock,Plymouth,PC software and games developer including desktop customization tools,Gaming • Software • Consumer,Mixed,Startup/Venture,Media,Tool
Hilgraeve,Monroe,Communications and data transfer software developer,Software • Communications,Licensing,Startup/Venture,Tool,None
New World Systems,Germantown,Government ERP software for public sector organizations,GovTech • ERP • Software,Licensing,Government/Public Sector,Bureaucracy,Tool
Red Cedar Technology,Ann Arbor,Engineering simulation and design optimization software,Engineering Software • Simulation,Licensing,Startup/Venture,Tool,None
CatalogIt,Michigan,Collections management software for museums and archives,Software • Cultural Tech,Subscription,Startup/Venture,Bureaucracy,Tool
BlueWare,Michigan,Government technology solutions and public safety software,GovTech • Public Safety • Software,Licensing,Government/Public Sector,Bureaucracy,None
Syntel,Troy,IT services and application development outsourcing company,IT Services • Cloud • Outsourcing,Services,Outsourcing,Tool,Bureaucracy
Voxel51,Ann Arbor,Computer vision and machine learning data platform,AI/ML • Computer Vision • Data,Subscription,Startup/Venture,Tool,None
A2 Hosting,Ann Arbor,Web hosting provider with developer-focused infrastructure services,Cloud • Hosting • Infrastructure,Subscription,Startup/Venture,Tool,None
Merative,Ann Arbor,Healthcare data and AI platform for clinical and research insights,Healthtech • Data • AI,Subscription,Corporate Agile,Tool,Bureaucracy
New Eagle,Ann Arbor,Embedded control systems and vehicle electrification engineering,Automotive Tech • Embedded Systems • Hardware,Services,Startup/Venture,Tool,None
AccumTech,Ann Arbor,Healthcare data exchange and interoperability solutions,Healthtech • Data • Interoperability,Subscription,Startup/Venture,Bureaucracy,Tool
Nutshell,Ann Arbor,CRM and email marketing platform for small and mid-size businesses,CRM • SaaS • Marketing Tech,Subscription,Startup/Venture,Tool,Bureaucracy
Workit Health,Ann Arbor,Telemedicine platform for substance use disorder treatment,Healthtech • Telemedicine • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Plinqit,Ann Arbor,Fintech SaaS platform for banks to acquire deposits through high-yield savings,Fintech • SaaS • Banking,Subscription,Startup/Venture,Bureaucracy,Tool
InfoReady,Ann Arbor,Higher education selection and program management software platform,Edtech • SaaS • Higher Ed,Subscription,Startup/Venture,Bureaucracy,Tool
Blackwell Security,Ann Arbor,Managed security operations center for healthcare organizations,Cybersecurity • Healthcare • Managed Services,Services,Outsourcing,Bureaucracy,Tool
Optilogic,Ann Arbor,Cloud-native supply chain design and optimization platform,Supply Chain • AI • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Tandem,Ann Arbor,Fintech app for couples financial planning and expense management,Fintech • Consumer • Mobile,Subscription,Startup/Venture,Tool,Bureaucracy
Evenergi,Ann Arbor,Fleet electrification consulting and BetterFleet software platform,CleanTech • EV • SaaS,Mixed,Startup/Venture,Tool,Services
Deepgram,Ann Arbor,Voice AI platform for real-time speech-to-text and audio intelligence,AI/ML • Voice • SaaS,Usage-based,Startup/Venture,Tool,None
SkySpecs,Ann Arbor,Autonomous drone inspection platform for wind turbines,Drones • CleanTech • AI,Services,Startup/Venture,Tool,None
BlueConduit,Ann Arbor,Predictive analytics for water infrastructure and lead pipe identification,Analytics • GovTech • CleanTech,Services,Startup/Venture,Bureaucracy,Tool
Genomenon,Ann Arbor,AI-powered genetic variant interpretation for clinical genomics,Healthtech • AI/ML • Genomics,Subscription,Startup/Venture,Tool,Bureaucracy
ArborMetrix,Ann Arbor,Healthcare analytics and outcomes measurement platform,Healthtech • Analytics • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Sequestro,Ann Arbor,Carbon capture technology and environmental solutions,CleanTech • Hardware • Environmental,Hardware sales,Startup/Venture,Tool,None
RF Connect,Ann Arbor,Systems integrator for 4G 5G and WiFi enterprise solutions,Telecom • Infrastructure • Hardware,Services,Outsourcing,Tool,None
Panoptyc,Detroit,AI-powered retail loss prevention and store analytics platform,AI/ML • Retail • Computer Vision,Subscription,Startup/Venture,Tool,Bureaucracy
Cavnue,Detroit,Digital infrastructure for connected and autonomous vehicle corridors,Autonomous Vehicles • Infrastructure • Smart City,Licensing,Startup/Venture,Bureaucracy,Tool
Signal Advisors,Detroit,Financial advising platform and technology for insurance professionals,Fintech • Insurance • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
GreenLancer,Detroit,Online marketplace connecting solar and EV charging contractors with engineering,CleanTech • Marketplace • Solar,Transaction fees,Startup/Venture,Bureaucracy,Tool
Atomic Industries,Detroit,AI-powered tool and die manufacturing automation platform,Manufacturing • AI/ML • Robotics,Subscription,Startup/Venture,Tool,None
Metadome.ai,Detroit,Extended reality XR and AI platform for product visualization,AI/ML • AR/VR • Automotive,Subscription,Startup/Venture,Tool,Media
CoverTree,Detroit,Manufactured home insurance platform for underserved communities,Insurtech • SaaS • Consumer,Subscription,Startup/Venture,Bureaucracy,Tool
Zeck,Detroit,Board meeting software for effective governance and shareholder communication,SaaS • Enterprise • Productivity,Subscription,Startup/Venture,Bureaucracy,Tool
Vehya,Detroit,Home and business service automation and scheduling app,Consumer Tech • Marketplace • SaaS,Mixed,Startup/Venture,Tool,Bureaucracy
Autobooks,Detroit,Banking solutions and invoicing platform for small business owners,Fintech • Banking • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
RIVET Work,Detroit,Construction crew scheduling and workforce management platform,HR Tech • Construction • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Petram Analytics,Detroit,Customer data analytics and intelligence platform,Data • Analytics • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Airspace Link,Detroit,FAA-approved drone operations infrastructure and airspace management,Drones • Infrastructure • GovTech,Licensing,Startup/Venture,Bureaucracy,Tool
KODE Labs,Detroit,Smart building management and IoT platform for commercial real estate,IoT • Smart Building • SaaS,Subscription,Startup/Venture,Tool,Bureaucracy
Pocketnest,Detroit,Financial wellness platform helping banks engage customers,Fintech • SaaS • Banking,Subscription,Startup/Venture,Tool,Bureaucracy
TiiCKER,Detroit,Shareholder engagement and perks platform for publicly traded companies,Fintech • SaaS • Investor Relations,Subscription,Startup/Venture,Bureaucracy,Tool
InvestNext,Detroit,Software platform for managing real estate investment funds,Fintech • Real Estate • SaaS,Subscription,Startup/Venture,Bureaucracy,Tool
Judy Security,Detroit,Cybersecurity platform for small and mid-size businesses,Cybersecurity • SaaS • SMB,Subscription,Startup/Venture,Bureaucracy,Tool
Hello Innovation,Detroit,Digital product studio and venture builder for tech startups,Software • Venture Studio • Consulting,Mixed,Startup/Venture,Tool,Services
Shibumi,Detroit,Work management and strategic execution platform for enterprises,Enterprise Software • SaaS • Productivity,Subscription,Startup/Venture,Tool,Bureaucracy
Lineage Logistics,Detroit,Technology-driven temperature-controlled warehousing and logistics network,Logistics • Supply Chain • IoT,Services,Corporate Agile,Bureaucracy,Tool
Acrisure,Grand Rapids,Insurance and financial technology conglomerate with AI capabilities,Insurtech • Fintech • AI,Mixed,Corporate Agile,Bureaucracy,Tool
